"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"75","Iraq",0.0059066018581185,0.00646034578231711,0.00252261121023811,0.00529133083123116,0.00442995139358888,0.00535285793391989,0.00301482803174799,0.00547591213929736,0.00498369531778749,0.0037531532640128,0.00301482803174799,0.00652187288500585,0.00670645419307205,0.000861379437642281,0.00123054205377469,0.00898295699255522,0.00892142988986649
"76","Ireland",0.00252641990173839,0.00145134760312631,0.00164486061687648,0.00374125159917004,0.00137609254222346,0.00377350376812841,0.0060956599331305,0.00483782534375437,0.0114280185342464,0.00163410989389036,0.00693421632604793,0.00331122267972521,0.00567638173667179,0.000741799886042336,0.00190287796854338,0.00596665125729705,0.00692346560306181
"77","Israel",0.0100647016534867,0.00195131970832905,0.000410804149121906,0.00195131970832905,0,0.0048269487521824,0.021978021978022,0.00195131970832905,0.00647016534867002,0.00267022696929239,0.0115025161754134,0.00667556742323097,0.0227996302762658,0,0.00390263941665811,0.00297833008113382,0.00605936119954812
"78","Italy",0.00970683784101139,0.00430545226819054,0.00418803084269443,0.00778895455790833,0.00821949978472739,0.00673216172844338,0.00375748561587538,0.0108027711456417,0.00966769736584602,0.00375748561587538,0.00774981408274296,0.00951113546518455,0.00477513797017496,0.00317037848839485,0.00833692121022349,0.00606677365063212,0.00614505460096286
"79","Jamaica",0.00497789148752746,0.00455379738034984,0.00297561111265608,0.00606246002391613,0.00324675324675325,0.00567312772880225,0.00558969937984927,0.0144609138185155,0.00799521677466003,0.00636836397007703,0.00494312967546372,0.00315637253538752,0.0076128368419589,0.001626852804583,0.00270446897855891,0.00473455880308129,0.00556188993019828
"80","Japan",0.00537910234286336,0.00356015733097026,0.000652954619653934,0.00160129347200846,0.00149246770206613,0.00492825272453088,0.00457068233757754,0.00119708346936555,0.011271240458312,0.001399188470687,0.0129969062388259,0.00424420502775057,0.00314040078976416,0.00570557965269033,0.0071514077390669,0.00368452963947577,0.00329586617539605
"81","Jordan",0.00237305580969808,0.00797689844464776,0.00451738334858188,0.0150388838060384,0.026217978042086,0.00586116193961574,0.00889181152790485,0.00568961573650503,0.0146100182982617,0.00345951509606587,0.00720494053064959,0.00500343092406221,0.00151532479414456,0.00300205855443733,0.00168687099725526,0.00537511436413541,0.0155821134492223
"82","Kazakhstan",0.00460188356164384,0.00165881849315068,0.0018728595890411,0.00149828767123288,0.000963184931506849,0.00165881849315068,0.0019798801369863,0.00540453767123288,0.00315710616438356,0.00272902397260274,0.00139126712328767,0.00171232876712329,0.0019798801369863,0.00058861301369863,0.000374571917808219,0.00240796232876712,0.00369220890410959
"83","Kenya",0.00476703060126096,0.00381362448100877,0.00645855758880517,0.00728894356450869,0.0025526679993849,0.00504382592649546,0.00427495002306628,0.00815008457634938,0.00934953098569891,0.00504382592649546,0.00301399354144241,0.00289097339689374,0.00624327233584499,0.00116869137321236,0.00304474857757958,0.00584345686606182,0.00596647701061049
"84","Kiribati",0.00414139920130158,0.00162697825765419,0.00606419168762017,0.00788837943105063,0.00266232805797959,0.00379628260119312,0.00345116600108465,0.00709954148794557,0.00650791303061677,0.00231721145787112,0.00650791303061677,0.00157767588621013,0.0073460533451659,0.00616279643050831,0.00443721342996598,0.00571907508751171,0.00581767983039984
